Date,reliance,adani
########,2667.8,1554.45
########,2694.95,1569.7
########,2700.4,1646.35
########,2707.6,1615.5
########,2731.85,1569.45
########,2700.4,1589.7
########,2622.5,1595.05
########,2627.4,1543
########,2601.8,1532.2
########,2661.05,1543.85
########,2627.4,1566.55
########,2598.6,1398.55
########,2536.25,1423.6
########,2537.8,1445.3
########,2500.8,1472.8
########,2483.6,1485.9
########,2498.85,1489.45
########,2501.95,1568.25
########,2521.7,1635.45
########,2549.9,1655.85
########,2554.55,1664.9
########,2593.1,1705.2
########,2577.8,1749.55
########,2517.9,1711.6
########,2464,1706.45
########,2473.3,1688.75
########,2363.75,1675.75
########,2385.85,1707.95
########,2351.4,1755.15
########,2492.95,1763.05
########,2412.6,1669.55
########,2441.5,1665.05
########,2405.4,1662.85
########,2467,1693.3
########,2482.85,1732.25
########,2408.25,1708.1
########,2362.6,1645.6
########,2381.85,1678.45
########,2418.1,1715.5
########,2456.45,1722.25
########,2458.95,1740.4
########,2409.65,1719.55
########,2380.15,1720.1
########,2373.2,1695.3
########,2403.9,1702.05
########,2340.45,1645.3
########,2277.35,1589.95
########,2311.25,1620.5
########,2366.1,1658.1
########,2365.25,1676.2
########,2372.8,1698.2
########,2370.25,1730.2
########,2398.4,1751
########,2402.5,1718.05
########,2359.1,1696.4
########,2368.15,1709.45
1/3/2022,2403.85,1717.15
1/4/2022,2458.1,1719
1/5/2022,2469.6,1715.45
1/6/2022,2416.5,1713.1
1/7/2022,2436,1699.1
########,2438,1752.6
########,2455.55,1843.9
########,2521.1,1830.1
########,2535.3,1853.35
########,2539,1870.25
########,2552.25,1877.8
########,2521.8,1840.95
########,2521.6,1849.3
########,2477.45,1865.85
########,2477.85,1828.35
########,2377.9,1715.8
########,2373.25,1741.4
########,2338.1,1686
########,2335.85,1693.7
########,2386.6,1714.95
2/1/2022,2378.7,1746.9
2/2/2022,2383.55,1779.35
2/3/2022,2352.75,1751.85
2/4/2022,2331.3,1757.3
2/7/2022,2317.1,1731.8
2/8/2022,2356.05,1716
2/9/2022,2383.5,1783.15
########,2381.05,1786.1
########,2376.4,1764.3
########,2338.55,1663.95
########,2417.95,1744.25
########,2412.95,1738.1
########,2443.5,1730.95
########,2424.4,1736.3
########,2399.9,1685.2
########,2389,1667.7
########,2374.05,1688.7
########,2255.75,1543.95
########,2283.95,1618.7
########,2359.55,1644.45
3/2/2022,2398.55,1641.8
3/3/2022,2378.3,1643.8
3/4/2022,2325.55,1615
3/7/2022,2239.55,1564.05
3/8/2022,2235.5,1601.6
3/9/2022,2354.1,1656.55
########,2392.25,1742.85
########,2399.15,1734.1
########,2418.85,1736.1
########,2363.45,1701.4
########,2403.35,1758
########,2481.7,1819.65
########,2467.4,1802.95
########,2531.15,1831.55
########,2539.2,1811
########,2578.65,1832.8
########,2595.85,1867
########,2621.95,1909.7
########,2622.55,1917.25
########,2672.95,1995.25
########,2634.75,2014.75
4/1/2022,2655.85,2043.65
4/4/2022,2663.7,2065.85
4/5/2022,2626.05,2139.85
4/6/2022,2619.05,2160
4/7/2022,2572.85,2099.05
4/8/2022,2615.65,2170.95
########,2610.2,2180.2
########,2561.05,2196.95
########,2551.65,2199.45
########,2543.85,2233.85
########,2640.8,2168.3
########,2718.45,2183.95
########,2782.1,2286.35
########,2758.8,2273.3
########,2695,2284.2
########,2775.65,2395.3
########,2778.35,2334.1
########,2819.85,2378.55
########,2790.25,2332
5/2/2022,2780.45,2339.5
5/4/2022,2693.65,2253.8
5/5/2022,2640.9,2255.4
